,JPN,KOR,Virtual_Demand
ABW,0.0,0.0,3.0
AGO,0.0,0.0,140.0
ALB,0.0,2114.0,0.0
AND,0.0,6.0,0.0
ARE,0.0,413.0,0.0
ARG,0.0,0.0,4551.0
ARM,0.0,4.0,0.0
AUT,0.0,35197.0,0.0
AZE,0.0,1143.0,0.0
BDI,0.0,344.0,0.0
BEN,0.0,0.0,2.0
BFA,0.0,0.0,1052.0
BGD,0.0,3.0,0.0
BGR,0.0,9241.0,0.0
BHR,0.0,3.0,0.0
BIH,0.0,249.0,0.0
BLR,0.0,3444.0,0.0
BMU,0.0,0.0,2.0
BOL,0.0,0.0,2323.0
BRN,0.0,30.0,0.0
BWA,0.0,0.0,503.0
CHL,0.0,0.0,1683.0
CIV,0.0,0.0,328.0
CMR,0.0,0.0,2.0
COG,0.0,0.0,4.0
COL,0.0,0.0,4377.0
COM,0.0,4.0,0.0
CPV,0.0,0.0,10.0
CRI,0.0,0.0,1314.0
CYP,0.0,2011.0,0.0
DNK,0.0,19805.0,0.0
DOM,0.0,0.0,2232.0
DZA,0.0,853.0,0.0
ECU,0.0,0.0,1513.0
EGY,0.0,8509.0,0.0
EST,0.0,2243.0,0.0
ETH,0.0,897.0,0.0
FJI,6.0,0.0,0.0
GEO,0.0,98.0,0.0
GHA,0.0,0.0,28.0
GIN,0.0,0.0,6.0
GRC,0.0,48776.0,0.0
GRD,0.0,0.0,87.0
GRL,0.0,1.0,0.0
GTM,0.0,0.0,4028.0
GUY,0.0,0.0,2328.0
HND,0.0,0.0,489.0
HRV,0.0,7411.0,0.0
IDN,0.0,50449.0,0.0
IRL,0.0,16236.0,0.0
IRN,0.0,97.0,0.0
ISL,0.0,1046.0,0.0
ISR,0.0,36742.0,0.0
JAM,0.0,0.0,7.0
JOR,0.0,1977.0,0.0
KAZ,0.0,2961.0,0.0
KEN,0.0,15136.0,0.0
KGZ,0.0,3.0,0.0
KHM,0.0,1401.0,0.0
KIR,3.0,0.0,0.0
KWT,0.0,16.0,0.0
LAO,0.0,8831.0,0.0
LBN,0.0,10860.0,0.0
LCA,0.0,0.0,24.0
LKA,0.0,107114.0,0.0
LSO,0.0,0.0,223.0
LTU,0.0,4366.0,0.0
LUX,0.0,2322.0,0.0
LVA,0.0,2703.0,0.0
MAR,0.0,2195.0,0.0
MDA,0.0,473.0,0.0
MDG,0.0,532.0,0.0
MDV,0.0,146.0,0.0
MEX,38498.0,0.0,6758.0
MKD,0.0,257.0,0.0
MLI,0.0,0.0,133.0
MLT,0.0,968.0,0.0
MNG,0.0,407.0,0.0
MOZ,0.0,0.0,154.0
MUS,0.0,774.0,0.0
MWI,0.0,2089.0,0.0
MYS,0.0,47.0,0.0
NAM,0.0,0.0,850.0
NER,0.0,0.0,505.0
NGA,0.0,0.0,52039.0
NIC,0.0,0.0,1306.0
NPL,0.0,435.0,0.0
NZL,12742.0,0.0,0.0
OMN,0.0,848.0,0.0
PAK,0.0,40656.0,0.0
PAL,0.0,40.0,0.0
PAN,0.0,0.0,13.0
PER,0.0,0.0,5706.0
PHL,0.0,210713.0,0.0
PLW,0.0,3.0,0.0
PRT,0.0,40176.0,0.0
PRY,0.0,0.0,741.0
PYF,504.0,0.0,0.0
QAT,0.0,16.0,0.0
RWA,0.0,8.0,0.0
SAU,0.0,12685.0,0.0
SDN,0.0,9.0,0.0
SEN,0.0,0.0,5292.0
SLB,3.0,0.0,0.0
SLV,0.0,0.0,14.0
SVN,0.0,3841.0,0.0
SYC,0.0,115.0,0.0
TGO,0.0,0.0,456.0
TJK,0.0,114.0,0.0
TTO,0.0,0.0,859.0
TUN,0.0,251.0,0.0
TZA,0.0,3632.0,0.0
UGA,0.0,25655.0,0.0
UKR,0.0,139.0,0.0
URY,0.0,0.0,378.0
UZB,0.0,1724.0,0.0
WSM,3.0,0.0,0.0
YEM,0.0,974.0,0.0
ZAF,0.0,0.0,350.0
ZMB,0.0,0.0,241.0
ZWE,0.0,0.0,17.0
MMR,0.0,5461.0,0.0
SWZ,0.0,0.0,21.0
BRA,0.0,0.0,1137900.0
USA,82441.0,369858.0,0.0
