source_iso3,destination_iso3,scrap_t,year,policy_scenario,method,strategy,cross_border
Virtual_Supply,TUR,10000.0,2025,baseline,Direct,Strategy 2,True
Virtual_Supply,USA,209000.0,2025,baseline,Direct,Strategy 2,True
Virtual_Supply,YUG,1000.0,2025,baseline,Direct,Strategy 2,True
AUS,JPN,983.4793711691091,2025,strict_policy,Direct,Strategy 2,True
BEL,KOR,4834.149954599285,2025,strict_policy,Direct,Strategy 2,True
BRA,RUS,1666.8439597389565,2025,strict_policy,Direct,Strategy 2,True
CAN,KOR,5549.708828764338,2025,strict_policy,Direct,Strategy 2,True
CHE,KOR,2557.381559305336,2025,strict_policy,Direct,Strategy 2,True
CHN,CHN,138726.9938207069,2025,strict_policy,Direct,Strategy 2,False
CZE,KOR,183.54365273088894,2025,strict_policy,Direct,Strategy 2,True
DEU,KOR,45022.476802608275,2025,strict_policy,Direct,Strategy 2,True
ESP,KOR,5517.007234229264,2025,strict_policy,Direct,Strategy 2,True
FIN,KOR,1623.2974008731167,2025,strict_policy,Direct,Strategy 2,True
FRA,KOR,20481.212420629075,2025,strict_policy,Direct,Strategy 2,True
GBR,KOR,15036.178547150295,2025,strict_policy,Direct,Strategy 2,True
HUN,KOR,56.37904460130991,2025,strict_policy,Direct,Strategy 2,True
IND,IND,721.3892285092552,2025,strict_policy,Direct,Strategy 2,False
ITA,KOR,10721.471179203056,2025,strict_policy,Direct,Strategy 2,True
JPN,JPN,3433.1682168473394,2025,strict_policy,Direct,Strategy 2,False
KOR,KOR,5989.430552287347,2025,strict_policy,Direct,Strategy 2,False
NLD,KOR,8007.7393897256225,2025,strict_policy,Direct,Strategy 2,True
NOR,KOR,7637.137740094282,2025,strict_policy,Direct,Strategy 2,True
POL,KOR,1756.1959139660194,2025,strict_policy,Direct,Strategy 2,True
ROM,RUS,83.39326948773933,2025,strict_policy,Direct,Strategy 2,True
RUS,RUS,1653.8603534506938,2025,strict_policy,Direct,Strategy 2,False
SVK,KOR,209.53957977775494,2025,strict_policy,Direct,Strategy 2,True
SWE,KOR,8845.715888448422,2025,strict_policy,Direct,Strategy 2,True
THA,THA,1769.0752152055234,2025,strict_policy,Direct,Strategy 2,False
TUR,KOR,2730.540558638032,2025,strict_policy,Direct,Strategy 2,True
USA,JPN,28430.955413486892,2025,strict_policy,Direct,Strategy 2,True
USA,KOR,26240.893752368316,2025,strict_policy,Direct,Strategy 2,True
VNM,THA,7484.323218113341,2025,strict_policy,Direct,Strategy 2,True
VNM,VNM,3000.0,2025,strict_policy,Direct,Strategy 2,False
YUG,RUS,58.268719453500815,2025,strict_policy,Direct,Strategy 2,True
Virtual_Supply,AUS,7000.0,2025,strict_policy,Direct,Strategy 2,True
Virtual_Supply,BEL,8000.0,2025,strict_policy,Direct,Strategy 2,True
Virtual_Supply,BRA,10000.0,2025,strict_policy,Direct,Strategy 2,True
Virtual_Supply,CAN,31000.0,2025,strict_policy,Direct,Strategy 2,True
Virtual_Supply,CHE,25000.0,2025,strict_policy,Direct,Strategy 2,True
Virtual_Supply,CHN,5849273.006179293,2025,strict_policy,Direct,Strategy 2,True
Virtual_Supply,CZE,1000.0,2025,strict_policy,Direct,Strategy 2,True
Virtual_Supply,DEU,126000.0,2025,strict_policy,Direct,Strategy 2,True
Virtual_Supply,ESP,32000.0,2025,strict_policy,Direct,Strategy 2,True
Virtual_Supply,FIN,7000.0,2025,strict_policy,Direct,Strategy 2,True
Virtual_Supply,FRA,50000.0,2025,strict_policy,Direct,Strategy 2,True
Virtual_Supply,GBR,46000.0,2025,strict_policy,Direct,Strategy 2,True
Virtual_Supply,HUN,55000.0,2025,strict_policy,Direct,Strategy 2,True
Virtual_Supply,IND,61278.61077149074,2025,strict_policy,Direct,Strategy 2,True
