,country,type,recycling_m,net_profit,collection_scenario,recovery_efficiency_scenario
0,Afghanistan,LFP,,0.0,high_collection,baseline
1,Afghanistan,NCA,,0.0,high_collection,baseline
2,Afghanistan,NMC111,,0.0,high_collection,baseline
3,Afghanistan,NMC523,,0.0,high_collection,baseline
4,Afghanistan,NMC622,,0.0,high_collection,baseline
5,Afghanistan,NMC811,,0.0,high_collection,baseline
6,Albania,LFP,,0.0,high_collection,baseline
7,Albania,NCA,,0.0,high_collection,baseline
8,Albania,NMC111,,0.0,high_collection,baseline
9,Albania,NMC523,,0.0,high_collection,baseline
10,Albania,NMC622,,0.0,high_collection,baseline
11,Albania,NMC811,,0.0,high_collection,baseline
12,Algeria,LFP,,0.0,high_collection,baseline
13,Algeria,NCA,,0.0,high_collection,baseline
14,Algeria,NMC111,,0.0,high_collection,baseline
15,Algeria,NMC523,,0.0,high_collection,baseline
16,Algeria,NMC622,,0.0,high_collection,baseline
17,Algeria,NMC811,,0.0,high_collection,baseline
18,Andorra,LFP,,0.0,high_collection,baseline
19,Andorra,NCA,,0.0,high_collection,baseline
20,Andorra,NMC111,,0.0,high_collection,baseline
21,Andorra,NMC523,,0.0,high_collection,baseline
22,Andorra,NMC622,,0.0,high_collection,baseline
23,Andorra,NMC811,,0.0,high_collection,baseline
24,Angola,LFP,,0.0,high_collection,baseline
25,Angola,NCA,,0.0,high_collection,baseline
26,Angola,NMC111,,0.0,high_collection,baseline
27,Angola,NMC523,,0.0,high_collection,baseline
28,Angola,NMC622,,0.0,high_collection,baseline
29,Angola,NMC811,,0.0,high_collection,baseline
30,Argentina,LFP,,0.0,high_collection,baseline
31,Argentina,NCA,,0.0,high_collection,baseline
32,Argentina,NMC111,,0.0,high_collection,baseline
33,Argentina,NMC523,,0.0,high_collection,baseline
34,Argentina,NMC622,,0.0,high_collection,baseline
35,Argentina,NMC811,,0.0,high_collection,baseline
36,Armenia,LFP,,0.0,high_collection,baseline
37,Armenia,NCA,,0.0,high_collection,baseline
38,Armenia,NMC111,,0.0,high_collection,baseline
39,Armenia,NMC523,,0.0,high_collection,baseline
40,Armenia,NMC622,,0.0,high_collection,baseline
41,Armenia,NMC811,,0.0,high_collection,baseline
42,Aruba,LFP,,0.0,high_collection,baseline
43,Aruba,NCA,,0.0,high_collection,baseline
44,Aruba,NMC111,,0.0,high_collection,baseline
45,Aruba,NMC523,,0.0,high_collection,baseline
46,Aruba,NMC622,,0.0,high_collection,baseline
47,Aruba,NMC811,,0.0,high_collection,baseline
48,Australia,LFP,Direct,0.0,high_collection,baseline
49,Australia,NCA,Direct,8.65840295631901,high_collection,baseline
50,Australia,NMC111,Hydro,5.944244612592881,high_collection,baseline
51,Australia,NMC523,Hydro,5.644557452928532,high_collection,baseline
52,Australia,NMC622,Hydro,5.010628961205143,high_collection,baseline
53,Australia,NMC811,Direct,5.643637153478229,high_collection,baseline
54,Austria,LFP,,0.0,high_collection,baseline
55,Austria,NCA,,0.0,high_collection,baseline
56,Austria,NMC111,,0.0,high_collection,baseline
57,Austria,NMC523,,0.0,high_collection,baseline
58,Austria,NMC622,,0.0,high_collection,baseline
59,Austria,NMC811,,0.0,high_collection,baseline
60,Azerbaijan,LFP,,0.0,high_collection,baseline
61,Azerbaijan,NCA,,0.0,high_collection,baseline
62,Azerbaijan,NMC111,,0.0,high_collection,baseline
63,Azerbaijan,NMC523,,0.0,high_collection,baseline
64,Azerbaijan,NMC622,,0.0,high_collection,baseline
65,Azerbaijan,NMC811,,0.0,high_collection,baseline
66,Bahamas,LFP,,0.0,high_collection,baseline
67,Bahamas,NCA,,0.0,high_collection,baseline
68,Bahamas,NMC111,,0.0,high_collection,baseline
69,Bahamas,NMC523,,0.0,high_collection,baseline
70,Bahamas,NMC622,,0.0,high_collection,baseline
71,Bahamas,NMC811,,0.0,high_collection,baseline
72,Bahrain,LFP,,0.0,high_collection,baseline
73,Bahrain,NCA,,0.0,high_collection,baseline
74,Bahrain,NMC111,,0.0,high_collection,baseline
75,Bahrain,NMC523,,0.0,high_collection,baseline
76,Bahrain,NMC622,,0.0,high_collection,baseline
77,Bahrain,NMC811,,0.0,high_collection,baseline
78,Bangladesh,LFP,,0.0,high_collection,baseline
79,Bangladesh,NCA,,0.0,high_collection,baseline
80,Bangladesh,NMC111,,0.0,high_collection,baseline
81,Bangladesh,NMC523,,0.0,high_collection,baseline
82,Bangladesh,NMC622,,0.0,high_collection,baseline
83,Bangladesh,NMC811,,0.0,high_collection,baseline
84,Barbados,LFP,,0.0,high_collection,baseline
85,Barbados,NCA,,0.0,high_collection,baseline
86,Barbados,NMC111,,0.0,high_collection,baseline
87,Barbados,NMC523,,0.0,high_collection,baseline
88,Barbados,NMC622,,0.0,high_collection,baseline
89,Barbados,NMC811,,0.0,high_collection,baseline
90,Belarus,LFP,,0.0,high_collection,baseline
91,Belarus,NCA,,0.0,high_collection,baseline
92,Belarus,NMC111,,0.0,high_collection,baseline
93,Belarus,NMC523,,0.0,high_collection,baseline
94,Belarus,NMC622,,0.0,high_collection,baseline
95,Belarus,NMC811,,0.0,high_collection,baseline
96,Belgium,LFP,Direct,-39.05517044642187,high_collection,baseline
97,Belgium,NCA,Direct,7.149427071668288,high_collection,baseline
98,Belgium,NMC111,Hydro,5.025354132182525,high_collection,baseline
99,Belgium,NMC523,Hydro,4.663165406966824,high_collection,baseline
100,Belgium,NMC622,Hydro,3.5397550358850616,high_collection,baseline
101,Belgium,NMC811,Direct,3.5557355681458547,high_collection,baseline
102,Benin,LFP,,0.0,high_collection,baseline
103,Benin,NCA,,0.0,high_collection,baseline
104,Benin,NMC111,,0.0,high_collection,baseline
105,Benin,NMC523,,0.0,high_collection,baseline
106,Benin,NMC622,,0.0,high_collection,baseline
107,Benin,NMC811,,0.0,high_collection,baseline
108,Bermuda,LFP,,0.0,high_collection,baseline
109,Bermuda,NCA,,0.0,high_collection,baseline
110,Bermuda,NMC111,,0.0,high_collection,baseline
111,Bermuda,NMC523,,0.0,high_collection,baseline
112,Bermuda,NMC622,,0.0,high_collection,baseline
113,Bermuda,NMC811,,0.0,high_collection,baseline
114,Bolivia (Plurinational State of),LFP,,0.0,high_collection,baseline
115,Bolivia (Plurinational State of),NCA,,0.0,high_collection,baseline
116,Bolivia (Plurinational State of),NMC111,,0.0,high_collection,baseline
117,Bolivia (Plurinational State of),NMC523,,0.0,high_collection,baseline
118,Bolivia (Plurinational State of),NMC622,,0.0,high_collection,baseline
119,Bolivia (Plurinational State of),NMC811,,0.0,high_collection,baseline
120,Bosnia Herzegovina,LFP,,0.0,high_collection,baseline
121,Bosnia Herzegovina,NCA,,0.0,high_collection,baseline
122,Bosnia Herzegovina,NMC111,,0.0,high_collection,baseline
123,Bosnia Herzegovina,NMC523,,0.0,high_collection,baseline
124,Bosnia Herzegovina,NMC622,,0.0,high_collection,baseline
125,Bosnia Herzegovina,NMC811,,0.0,high_collection,baseline
126,Botswana,LFP,,0.0,high_collection,baseline
127,Botswana,NCA,,0.0,high_collection,baseline
128,Botswana,NMC111,,0.0,high_collection,baseline
129,Botswana,NMC523,,0.0,high_collection,baseline
130,Botswana,NMC622,,0.0,high_collection,baseline
131,Botswana,NMC811,,0.0,high_collection,baseline
132,Brazil,LFP,Direct,0.0,high_collection,baseline
133,Brazil,NCA,Direct,9.368602679413126,high_collection,baseline
134,Brazil,NMC111,Hydro,6.85676815188548,high_collection,baseline
135,Brazil,NMC523,Hydro,6.452065393995008,high_collection,baseline
136,Brazil,NMC622,Hydro,6.209833654155823,high_collection,baseline
137,Brazil,NMC811,Direct,7.104429609708548,high_collection,baseline
138,Brunei Darussalam,LFP,,0.0,high_collection,baseline
139,Brunei Darussalam,NCA,,0.0,high_collection,baseline
140,Brunei Darussalam,NMC111,,0.0,high_collection,baseline
141,Brunei Darussalam,NMC523,,0.0,high_collection,baseline
142,Brunei Darussalam,NMC622,,0.0,high_collection,baseline
143,Brunei Darussalam,NMC811,,0.0,high_collection,baseline
144,Bulgaria,LFP,,0.0,high_collection,baseline
145,Bulgaria,NCA,,0.0,high_collection,baseline
146,Bulgaria,NMC111,,0.0,high_collection,baseline
147,Bulgaria,NMC523,,0.0,high_collection,baseline
148,Bulgaria,NMC622,,0.0,high_collection,baseline
149,Bulgaria,NMC811,,0.0,high_collection,baseline
150,Burkina Faso,LFP,,0.0,high_collection,baseline
151,Burkina Faso,NCA,,0.0,high_collection,baseline
152,Burkina Faso,NMC111,,0.0,high_collection,baseline
153,Burkina Faso,NMC523,,0.0,high_collection,baseline
154,Burkina Faso,NMC622,,0.0,high_collection,baseline
155,Burkina Faso,NMC811,,0.0,high_collection,baseline
156,Burundi,LFP,,0.0,high_collection,baseline
157,Burundi,NCA,,0.0,high_collection,baseline
158,Burundi,NMC111,,0.0,high_collection,baseline
159,Burundi,NMC523,,0.0,high_collection,baseline
160,Burundi,NMC622,,0.0,high_collection,baseline
161,Burundi,NMC811,,0.0,high_collection,baseline
162,C?te d'Ivoire,LFP,,0.0,high_collection,baseline
163,C?te d'Ivoire,NCA,,0.0,high_collection,baseline
164,C?te d'Ivoire,NMC111,,0.0,high_collection,baseline
